isolate	read_type	medaka_model
009-007_V1A_12	ont_r10	r1041_e82_400bps_sup_v4.3.0
030-004_V1_29	ont_r10	r1041_e82_400bps_sup_v4.3.0
063-004_V1_23	ont_r10	r1041_e82_400bps_sup_v4.3.0
070-003_V1_17	ont_r10	r1041_e82_400bps_sup_v4.3.0
123-004_V1_54	ont_r10	r1041_e82_400bps_sup_v4.3.0
133-002_V1_26	ont_r10	r1041_e82_400bps_sup_v4.3.0
005-001_V1_56	ont_r10	r1041_e82_400bps_sup_v4.3.0
005-008_V1_10	ont_r10	r1041_e82_400bps_sup_v4.3.0
005-011_V1_49	ont_r10	r1041_e82_400bps_sup_v4.3.0
018-003_V1_12	ont_r10	r1041_e82_400bps_sup_v4.3.0
018-005_V1_92	ont_r10	r1041_e82_400bps_sup_v4.3.0
030-004_V2_42	ont_r10	r1041_e82_400bps_sup_v4.3.0
039-002_V1_4	ont_r10	r1041_e82_400bps_sup_v4.3.0
039-006_V1_2	ont_r10	r1041_e82_400bps_sup_v4.3.0
039-007_V1_15	ont_r10	r1041_e82_400bps_sup_v4.3.0
052-008_V1_6	ont_r10	r1041_e82_400bps_sup_v4.3.0
054-004_V1_23	ont_r10	r1041_e82_400bps_sup_v4.3.0
054-004_V2_11	ont_r10	r1041_e82_400bps_sup_v4.3.0
063-001_V1_10	ont_r10	r1041_e82_400bps_sup_v4.3.0
063-004_V2_30	ont_r10	r1041_e82_400bps_sup_v4.3.0
065-007_V1_37	ont_r10	r1041_e82_400bps_sup_v4.3.0
123-003_V1_10	ont_r10	r1041_e82_400bps_sup_v4.3.0
149-001_V1_34	ont_r10	r1041_e82_400bps_sup_v4.3.0
149-007_V1A_3	ont_r10	r1041_e82_400bps_sup_v4.3.0
160-004_V1B_42	ont_r10	r1041_e82_400bps_sup_v4.3.0
160-004_V1_37	ont_r10	r1041_e82_400bps_sup_v4.3.0
160-007_V1_5	ont_r10	r1041_e82_400bps_sup_v4.3.0
166-007_V1_36	ont_r10	r1041_e82_400bps_sup_v4.3.0
195-001_V1_3	ont_r10	r1041_e82_400bps_sup_v4.3.0
195-007_V1_58	ont_r10	r1041_e82_400bps_sup_v4.3.0
201-011_V1_12	ont_r10	r1041_e82_400bps_sup_v4.3.0
238-004_V1_17	ont_r10	r1041_e82_400bps_sup_v4.3.0
291-005_V1_34	ont_r10	r1041_e82_400bps_sup_v4.3.0
166-002_V1_41	ont_r10	r1041_e82_400bps_sup_v4.3.0
199-005_V1_5	ont_r10	r1041_e82_400bps_sup_v4.3.0
160-012_V1_91	ont_r10	r1041_e82_400bps_sup_v4.3.0
